/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
ㄹ/ㅇ,랑,랭,량,럥,렁,렝,령,롕,롱,룡,룽,륭,릉,링,뢍,룅,뢩,뤙,륑,뤵,릥
ㄹ/ㅈ,랒,랮,럊,럦,렂,렞,렺,롖,롲,룢,룾,륮,릊,맂,뢎,룆,뢪,뤚,륒,뤶,릦
ㄹ/ㅊ,랓,랯,럋,럧,렃,렟,렻,롗,롳,룣,룿,륯,릋,맃,뢏,룇,뢫,뤛,륓,뤷,릧
ㄹ/ㅋ,랔,랰,럌,럨,렄,렠,렼,롘,롴,룤,뤀,륰,릌,맄,뢐,룈,뢬,뤜,륔,뤸,릨
ㄹ/ㅌ,랕,랱,럍,럩,렅,렡,렽,롙,롵,룥,뤁,륱,릍,맅,뢑,룉,뢭,뤝,륕,뤹,릩
ㄹ/ㅍ,랖,랲,럎,럪,렆,렢,렾,롚,롶,룦,뤂,륲,릎,맆,뢒,룊,뢮,뤞,륖,뤺,릪
ㄹ/ㅎ,랗,랳,럏,럫,렇,렣,렿,롛,롷,룧,뤃,륳,릏,맇,뢓,룋,뢯,뤟,륗,뤻,릫
ㄹ/ㄲ,띾,랚,랶,럒,럮,렊,렦,롂,롞,룎,룪,륚,륶,릮,롺,뢲,뢖,뤆,뤾,뤢,릒
ㄹ/ㄳ,띿,랛,랷,럓,럯,렋,렧,롃,롟,룏,룫,륛,륷,릯,롻,뢳,뢗,뤇,뤿,뤣,릓
ㄹ/ㄵ,랁,랝,랹,럕,럱,렍,렩,롅,롡,룑,룭,륝,륹,릱,롽,뢵,뢙,뤉,륁,뤥,릕
ㄹ/ㄶ,랂,랞,랺,럖,럲,렎,렪,롆,롢,룒,룮,륞,륺,릲,롾,뢶,뢚,뤊,륂,뤦,릖
ㄹ/ㄺ,랅,랡,랽,럙,럵,렑,렭,롉,롥,룕,룱,륡,륽,릵,뢁,뢹,뢝,뤍,륅,뤩,릙
ㄹ/ㄻ,랆,랢,랾,럚,럶,렒,렮,롊,롦,룖,룲,륢,륾,릶,뢂,뢺,뢞,뤎,륆,뤪,릚
ㄹ/ㄼ,랇,랣,랿,럛,럷,렓,렯,롋,롧,룗,룳,륣,륿,릷,뢃,뢻,뢟,뤏,륇,뤫,릛
